title,summary,also_called,group,primary_institute
A1C,"A1C is a blood test for type 2 diabetes and prediabetes . It measures your average blood glucose, or blood sugar , level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day. Your A1C test result is given in percentages. The higher the percentage, the higher your blood sugar levels have been: A normal A1C level is below 5.7% Prediabetes is between 5.7 to 6.4%. Having prediabetes is a risk factor for getting type 2 diabetes. People with prediabetes may need retests every year. Type 2 diabetes is above 6.5% If you have diabetes, you should have the A1C test at least twice a year. The A1C goal for many people with diabetes is below 7. It may be different for you. Ask what your goal should be. If your A1C result is too high, you may need to change your diabetes care plan. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","Glycohemoglobin, HbA1C, Hemoglobin A1C test","Diagnostic Tests, Diabetes Mellitus",National Institute of Diabetes and Digestive and Kidney Diseases
Abdominal Pain,"Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. Call your health care provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if: You have abdominal pain that is sudden and sharp You also have pain in your chest, neck or shoulder You're vomiting blood or have blood in your stool Your abdomen is stiff, hard and tender to touch You can't move your bowels, especially if you're also vomiting",Bellyache,"Digestive System, Symptoms",
Abortion,"An induced abortion is a procedure to end a pregnancy. It can be done two different ways: Medication abortion (also called medical abortion) Procedural abortion An induced abortion is different from a spontaneous abortion. That is the loss of a pregnancy before the 20th week of pregnancy. It is more commonly known as a miscarriage . If you are thinking of having an induced abortion, talk with your health care provider. Your provider can explain how the procedures are done, as well as the risks and benefits of each.",Induced Abortion,"Pregnancy and Reproduction, Female Reproductive System",
Aborto,"Un aborto inducido es un procedimiento para terminar un embarazo. Se puede hacer de dos maneras diferentes: Aborto con medicamentos Aborto quirúrgico Un aborto inducido es diferente de un aborto espontáneo. Es la pérdida de un embarazo antes de la semana 20 de embarazo. Se le conoce más comúnmente como pérdida del embarazo . Si está pensando en hacerse un aborto inducido, hable con su profesional de la salud. Su proveedor puede explicarle cómo se realizan los procedimientos, así como los riesgos y beneficios de cada tipo.","Aborto inducido, Aborto provocado, Aborto terapéutico, Interrupción del embarazo","Embarazo y reproducción, Sistema reproductor femenino",
Abscesos,"Un absceso es una cavidad donde se acumula pus. Se puede tener abscesos en casi cualquier parte del cuerpo. Cuando un área se infecta, el sistema inmunitario intenta combatir la infección. Los glóbulos blancos se dirigen hacia el área infectada, se acumulan dentro del tejido lesionado y causan inflamación. Durante este proceso se forma el pus. El pus es una mezcla de células sanguíneas blancas, gérmenes y tejido muerto. Las bacterias, los virus, los parásitos y objetos ingeridos pueden causar la formación de abscesos. Los abscesos en la piel son fáciles de detectar porque son zonas enrojecidas, hinchadas y dolorosas. Los que se encuentran dentro del cuerpo pueden quizá no ser obvios y pueden lesionar órganos, incluso el cerebro, los pulmones y otros. Los tratamientos incluyen drenarlos y tomar antibióticos.",,Infecciones,Instituto Nacional de Alergias y Enfermedades Infecciosas
Abscess,"An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected, your body's immune system tries to fight the infection. White blood cells go to the infected area, collect within the damaged tissue, and cause inflammation. During this process, pus forms. Pus is a mixture of living and dead white blood cells, germs, and dead tissue. Bacteria, viruses, parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red, raised and painful. Abscesses inside your body may not be obvious and can damage organs, including the brain, lungs and others. Treatments include drainage and antibiotics.",,Infections,National Institute of Allergy and Infectious Diseases
Abuso de las personas mayores,"Muchos adultos mayores son víctimas de abusos. Este maltrato a una persona mayor es por lo general de parte de un cuidador. Puede ocurrir dentro de la familia. También puede ocurrir en centros especiales o residencias para adultos mayores. El maltrato puede ser: Abuso físico, sexual y emocional Negligencia o abandono Abuso financiero: El robo de dinero o pertenencias Posibles signos de maltrato a personas mayores incluyen moretones inexplicables, quemaduras y lesiones. También pueden haber úlceras por presión y falta de higiene. La persona puede parecer ausente, agitada y deprimida. Puede haber un cambio repentino en la situación financiera de la persona. El abuso de personas mayores no se detendrá por sí solo. Alguien tiene que intervenir y ayudar. Si usted piensa que una persona mayor se encuentra en peligro, llame al 911. De lo contrario, contacte a los servicios de protección para adultos. NIH: Instituto Nacional sobre el Envejecimiento","Abuso y negligencia hacia las personas mayores, Maltrato al adulto mayor","Personas mayores, Lesiones y heridas, Asuntos sociales y familiares",Instituto Nacional sobre el Envejecimiento
Abuso sexual de menores,"El abuso sexual de menores es una forma de maltrato al menor . Incluye un amplio espectro de acciones entre un niño y un adulto, o con niños mayores. Con frecuencia, aunque no siempre, implica un contacto físico. Exhibir sus órganos genitales ante un niño o presionar a un niño a tener relaciones sexuales, es abuso sexual contra el menor. Utilizar niños en pornografía también es abuso sexual contra los menores. La mayoría de los abusadores conocen al niño de quien abusan. Pueden ser amistades de la familia, vecinos o cuidadores de niños. Casi una tercera parte de los abusadores tienen un parentesco con los niños. La mayoría de los abusadores son hombres. Si cree que un niño puede haber sufrido un abuso, es importante que lo denuncie.",Abuso sexual de niños,"Niños y adolescentes, Asuntos de salud sexual",
Accidente cerebrovascular,"¿Qué es un accidente cerebrovascular? Un accidente cerebrovascular o ataque cerebral sucede cuando se detiene el flujo sanguíneo a parte del cerebro. Al no poder recibir el oxígeno y nutrientes necesarios, las células cerebrales comienzan a morir en minutos. Esto puede causar un daño severo al cerebro, discapacidad permanente e incluso la muerte. Si piensa que usted o alguien está sufriendo un ataque cerebral, llame al 911 de inmediato. El tratamiento oportuno puede salvar una vida y aumentar la posibilidad de una rehabilitación y recuperación exitosa. ¿Cuáles son los tipos de accidentes cerebrovasculares? Hay dos tipos de ataques cerebrales: El accidente cerebrovascular isquémico es causado por un coágulo de sangre que bloquea o tapa un vaso sanguíneo en el cerebro. Es el tipo más común; un 80% de los ataques cerebrales son isquémicos El accidente cerebrovascular hemorrágico es causado por un vaso sanguíneo que se rompe y sangra en el cerebro Otra afección similar a un ataque cerebral es el ataque isquémico transitorio . A veces, se le llama ""mini derrame"". Sucede cuando la irrigación sanguínea al cerebro es bloqueada por poco tiempo. Si bien el daño a las células cerebrales no es permanente, lo coloca en mayor riesgo de sufrir un accidente cerebrovascular. ¿Quién está en riesgo de tener un accidente cerebrovascular? Algunos factores aumentan su riesgo de tener un accidente cerebrovascular. Los mayores factores de riesgo incluyen: Presión arterial alta : El principal factor de riesgo de los accidentes cerebrovasculares Diabetes Enfermedades del corazón : La fibrilación auricular y otras afecciones cardiacas puede provocar coágulos de sangre que conduzcan a un ataque cerebral Fumar : El tabaquismo daña sus vasos sanguíneos y aumenta su presión arterial Historia clínica o familiar de accidente cerebrovascular o ataque isquémico transitorio Edad: Su riesgo aumenta a medida que envejece Raza y etnicidad: Las personas afroamericanas o hispanas tienen un riesgo mayor de ataques cerebrales Otros factores de riesgo relacionados incluyen: Uso de alcohol y drogas ilegales No hacer suficiente ejercicio Colesterol alto Dieta poco saludable Tener obesidad ¿Cuáles son los síntomas de un accidente cerebrovascular? Los síntomas del accidente cerebrovascular ocurren a menudo rápidamente. Estos incluyen: Entumecimiento o debilidad repentina de la cara, brazo o la pierna (especialmente a un lado del cuerpo) Confusión repentina, dificultad para hablar o para entender el habla Problemas repentinos para ver con uno o ambos ojos Dificultad repentina para caminar, mareos, pérdida del equilibrio o coordinación Dolor de cabeza severo y repentino sin causa conocida La prueba F.A.S.T. puede ayudarle a recordar qué observar si sospechas que alguien está sufriendo un derrame cerebral. Piense ""rápido"" (""FAST"", por sus siglas en inglés) y observe: Cara (Face): Cara caída hacia un lado al sonreír Brazos (Arm): Debilidad en los brazos al levantarlos y uno de ellos se inclina hacia abajo Habla (Speech): Habla arrastrada o extraña Tiempo (Time): Es hora de llamar al 911 Si cree que usted o alguien más está sufriendo un ataque cerebral, llame al 911 de inmediato. Cada minuto cuenta durante un accidente cerebrovascular. ¿Cómo se diagnostican los accidentes cerebrovasculares? Para hacer un diagnóstico, su profesional de la salud puede: Preguntar por sus síntomas e historia clínica Hacer un examen físico, incluyendo una revisión de: Su estado de alerta mental Su coordinación y equilibrio Cualquier entumecimiento o debilidad en su cara, brazos y piernas Cualquier problema para hablar y ver en forma clara Pedir algunas pruebas, que pueden incluir: Imágenes del cerebro: Como una tomografía computarizada o una resonancia magnética . Pruebas cardíacas : Pueden ayudar a detectar problemas cardíacos o coágulos de sangre que pueden haber conducido a un ataque cerebral. Pueden incluir un electrocardiograma (ECG) y una ecocardiografía ¿Cuáles son los tratamientos para un accidente cerebrovascular? Tratamientos para un accidente cerebrovascular incluyen medicamentos, cirugía y rehabilitación. Los tratamientos que reciba dependen del tipo de accidente cerebrovascular y de la etapa del tratamiento. Las diferentes etapas son: Tratamiento de emergencia: Intenta detener un accidente cerebrovascular mientras está ocurriendo Rehabilitación después del accidente cerebrovascular: Busca superar las discapacidades causadas por el accidente cerebrovascular Prevención: Busca prevenir un primer derrame cerebral o, si ya lo ha tenido, prevenir que ocurra otro Los tratamientos de emergencia para el accidente cerebrovascular isquémico suelen utilizar medicamentos: Puede recibir t-PA, (activador tisular del plasminógeno), un medicamento para disolver el coágulo de sangre. Solo puede obtener este medicamento dentro de las 4 horas posteriores al inicio de los síntomas. Cuanto antes pueda tomarlo, mayores serán sus posibilidades de recuperación Si no puede tomar ese medicamento, puede obtener otro que ayude a evitar que las plaquetas se agrupen para formar coágulos de sangre. O puede recibir un anticoagulante para evitar que los coágulos existentes crezcan Si tiene enfermedad de la arteria carótida, es posible que también necesite un procedimiento para abrir la arteria carótida bloqueada Los tratamientos de emergencia para el accidente cerebrovascular hemorrágico se centran en detener el sangrado. El primer paso es encontrar la causa del sangrado en el cerebro. El siguiente paso es controlarlo: Si la presión arterial alta es la causa del sangrado, es posible que le administren medicamentos para la presión arterial Si un aneurisma es la causa, es posible que necesite un clipaje (colocación de grapas) del aneurisma o una embolización con espiral. Estas cirugías sirven para prevenir una mayor filtración de sangre del aneurisma. También puede ayudar a prevenir que el aneurisma vuelva a romperse Si una malformación arteriovenosa es la causa de un accidente cerebrovascular, es posible que necesite repararla. Una malformación arteriovenosa es una maraña de arterias y venas defectuosas que pueden romperse dentro del cerebro. Una reparación de malformaciones arteriovenosas puede consistir en: Cirugía Inyectar una sustancia en los vasos sanguíneos de la malformación para bloquear el flujo sanguíneo Radiación para encoger los vasos sanguíneos de la malformación La rehabilitación posterior a un accidente cerebrovascular puede ayudarle a volver a aprender las habilidades que perdió por los daños causados. El objetivo es tratar de volver a ser lo más independiente posible y tener una mejor calidad de vida. La prevención de un nuevo accidente cerebrovascular también es importante, ya que tener uno aumenta el riesgo de sufrir otro. La prevención puede incluir cambios en el estilo de vida saludables para el corazón y medicamentos. ¿Se pueden prevenir los accidentes cerebrovasculares? Si ya ha tenido un accidente cerebrovascular o está en riesgo de tener uno y quiere prevenirlo en el futuro, puede hacer algunos cambios saludables en su estilo de vida al: Comer una dieta saludable para el corazón Lograr un peso saludable Manejar el estrés Hacer actividad física regular Dejar de fumar Controlar su presión arterial y los niveles de colesterol Si estos cambios no son suficientes, es posible que necesite medicamentos para controlar sus factores de riesgo. NIH: Instituto Nacional de Trastornos Neurológicos y Accidentes Cerebrovasculares","ACV, Accidente cerebral, Apoplejía, Ataque cerebral, Derrame cerebral, Infarto cerebral","Personas mayores, Sangre, corazón y circulación, Cerebro y nervios",Instituto Nacional de Trastornos Neurológicos y Accidentes Cerebrovasculares
Accidente cerebrovascular hemorrágico,"¿Qué es un accidente cerebrovascular hemorrágico? Un accidente cerebrovascular ocurre cuando se pierde el flujo sanguíneo a una parte del cerebro. Las células cerebrales no pueden obtener el oxígeno y los nutrientes que necesitan de la sangre y comienzan a morir en pocos minutos. Esto puede causar daño cerebral permanente, discapacidad a largo plazo o incluso la muerte. Hay dos tipos de accidentes cerebrovasculares: Isquémico y hemorrágico. El accidente cerebral hemorrágico es el tipo menos común. Ocurre cuando un vaso sanguíneo se rompe, lo que provoca un sangrado (hemorragia) en el cerebro o a su alrededor. Este sangrado aumenta la presión dentro del cráneo y daña el tejido cerebral. En cuestión de minutos, las células del cerebro comienzan a morir. ¿Cuáles son los tipos de accidentes cerebrovasculares hemorrágicos? Los accidentes cerebrovasculares hemorrágicos se clasifican según el lugar donde se produce el sangrado: Hemorragia intracerebral: El sangrado se produce directamente en el tejido cerebral. Este es el tipo más común de accidente cerebrovascular hemorrágico Hemorragia subaracnoidea: El sangrado se produce en el espacio entre el cerebro y las capas delgadas de tejido que lo recubren. Esto suele ocurrir cuando un punto débil de una arteria (llamado aneurisma) se rompe en la superficie del cerebro ¿Qué causa un accidente cerebrovascular hemorrágico? Las causas más comunes incluyen: Aneurisma : Una protuberancia o ""abultamiento"" en una pared arterial debilitada que puede reventar Malformación arteriovenosa (MAV): Un grupo enredado de vasos sanguíneos anormales que puede romperse dentro del cerebro Presión arterial alta (hipertensión): Con el tiempo, puede debilitar las paredes de los vasos sanguíneos y aumentar el riesgo de que se rompan Traumatismo craneal: Una lesión cerebral puede causar sangrado ¿Cuáles son los síntomas de un accidente cerebrovascular hemorrágico? Los síntomas de un derrame cerebral suelen aparecer de repente. Entre ellos se incluyen: Entumecimiento o debilidad repentina de la cara, brazo o pierna (especialmente en un lado del cuerpo) Confusión repentina, dificultad para hablar o entender el lenguaje Dificultad repentina para ver con uno o ambos ojos Problemas para caminar repentina, mareos, pérdida de equilibrio o coordinación Dolor de cabeza severo repentino sin causa conocida La prueba F.A.S.T. puede ayudarle a recordar qué observar si sospechas que alguien está sufriendo un derrame cerebral. Piense ""rápido"" (""FAST"", por sus siglas en inglés) y observe: Cara (Face): Cara caída hacia un lado al sonreír Brazos (Arm): Debilidad en los brazos al levantarlos y uno de ellos se inclina hacia abajo Habla (Speech): Habla de forma arrastrada o extraña Tiempo (Time): Es hora de llamar al 911 ¿Cómo se diagnostica un accidente cerebrovascular hemorrágico? Para hacer un diagnóstico, su proveedor de cuidados de la salud puede realizarle un examen físico, preguntarle acerca de sus síntomas e historia clínica y utilizar pruebas de diagnóstico por imágenes para comprobar si hay sangrado en su cerebro. ¿Cómo se trata un accidente cerebrovascular hemorrágico? Es importante tratar los ataques cerebrales lo más rápido posible. En un accidente cerebrovascular hemorrágico, los primeros pasos consisten en encontrar la causa del sangrado en el cerebro y detenerlo. El tratamiento puede implicar medicamentos o, en algunos casos, cirugía para detener el sangrado o aliviar la presión en el cerebro. Después de un accidente cerebrovascular, la rehabilitación puede ayudar a las personas a recuperar las capacidades perdidas y recuperar la independencia. ¿Se puede prevenir un accidente cerebrovascular hemorrágico? La mejor manera de prevenir un accidente cerebrovascular es hacer cambios saludables en su estilo de vida para reducir el riesgo. Si esos cambios no son suficientes, su profesional de la salud podría recetarle medicamentos para ayudarle a controlar sus factores de riesgo. NIH: Instituto Nacional de Trastornos Neurológicos y Accidentes Cerebrovasculares","Accidente cerebral hemorrágico, Ataque cerebral hemorrágico, Derrame cerebral hemorrágico","Sangre, corazón y circulación, Cerebro y nervios",Instituto Nacional de Trastornos Neurológicos y Accidentes Cerebrovasculares
